id,image_url,pocket_details,fit_silhouette,season,relative_path
11876597,https://asset1.ruecdn.com/images/product/151188/1511885746_RLLDTH_1.jpg,Slant-Pocket,Loose-Fit-Pant,Tropical-Vacation,images/pants/11876597.jpg
11885326,https://asset1.ruecdn.com/images/product/145056/1450566779_RLLDTH_1.jpg,Pockets,Slim-Fit-Pant,Fall,images/pants/11885326.jpg
11885327,https://asset1.ruecdn.com/images/product/145056/1450566776_RLLDTH_1.jpg,Zipper-Pocket,Regular-Fit-Pant,Fall,images/pants/11885327.jpg
11885330,https://asset1.ruecdn.com/images/product/145056/1450566773_RLLDTH_1.jpg,Zipper-Pocket,Regular-Fit-Pant,Fall,images/pants/11885330.jpg
11885331,https://asset1.ruecdn.com/images/product/145056/1450566770_RLLDTH_1.jpg,Traditional-Five-Pocket,Regular-Fit-Pant,Fall,images/pants/11885331.jpg
11885428,https://asset1.ruecdn.com/images/product/145018/1450185802_RLLDTH_1.jpg,Pockets,Slim-Fit-Pant,Fall,images/pants/11885428.jpg
11885595,https://asset1.ruecdn.com/images/product/141299/1412997691_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11885595.jpg
11885821,https://asset1.ruecdn.com/images/product/141297/1412974711_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11885821.jpg
11885822,https://asset1.ruecdn.com/images/product/141297/1412974710_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11885822.jpg
11885826,https://asset1.ruecdn.com/images/product/141297/1412974706_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11885826.jpg
11885828,https://asset1.ruecdn.com/images/product/141297/1412974460_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11885828.jpg
11885837,https://asset1.ruecdn.com/images/product/141297/1412974448_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11885837.jpg
11885974,https://asset1.ruecdn.com/images/product/141296/1412969282_RLLDTH_1.jpg,Slant-Pocket,Regular-Fit-Pant,Fall,images/pants/11885974.jpg
11885975,https://asset1.ruecdn.com/images/product/141296/1412969281_RLLDTH_1.jpg,Slant-Pocket,Regular-Fit-Pant,Fall,images/pants/11885975.jpg
11885976,https://asset1.ruecdn.com/images/product/141296/1412969280_RLLDTH_1.jpg,Slant-Pocket,Regular-Fit-Pant,Spring,images/pants/11885976.jpg
11885983,https://asset1.ruecdn.com/images/product/141296/1412969273_RLLDTH_1.jpg,Slant-Pocket,Regular-Fit-Pant,Fall,images/pants/11885983.jpg
11886065,https://asset1.ruecdn.com/images/product/141296/1412960549_RLLDTH_1.jpg,Pockets,Slim-Fit-Pant,Spring,images/pants/11886065.jpg
11886195,https://asset1.ruecdn.com/images/product/141292/1412928309_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11886195.jpg
11886197,https://asset1.ruecdn.com/images/product/141292/1412928307_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11886197.jpg
11886336,https://asset1.ruecdn.com/images/product/141292/1412923452_RLLDTH_1.jpg,Zipper-Pocket,Slim-Fit-Pant,Fall,images/pants/11886336.jpg
11886609,https://asset1.ruecdn.com/images/product/141290/1412906194_RLLDTH_1.jpg,Slant-Pocket,Regular-Fit-Pant,Spring,images/pants/11886609.jpg
11886612,https://asset1.ruecdn.com/images/product/141290/1412906191_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11886612.jpg
11886619,https://asset1.ruecdn.com/images/product/141290/1412906183_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11886619.jpg
11886979,https://asset1.ruecdn.com/images/product/141283/1412839014_RLLDTH_1.jpg,Seam-Pocket,Slim-Fit-Pant,Fall,images/pants/11886979.jpg
11886980,https://asset1.ruecdn.com/images/product/141283/1412839010_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11886980.jpg
11887001,https://asset1.ruecdn.com/images/product/141282/1412827545_RLLDTH_1.jpg,Seam-Pocket,Slim-Fit-Pant,Fall,images/pants/11887001.jpg
11887006,https://asset1.ruecdn.com/images/product/141282/1412827285_RLLDTH_1.jpg,Pockets,Loose-Fit-Pant,Fall,images/pants/11887006.jpg
11887091,https://asset1.ruecdn.com/images/product/141280/1412808593_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11887091.jpg
11887120,https://asset1.ruecdn.com/images/product/141279/1412799240_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11887120.jpg
11887189,https://asset1.ruecdn.com/images/product/141279/1412792991_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11887189.jpg
11887190,https://asset1.ruecdn.com/images/product/141279/1412792990_RLLDTH_1.jpg,Pockets,Loose-Fit-Pant,Spring,images/pants/11887190.jpg
11887236,https://asset1.ruecdn.com/images/product/141278/1412788781_RLLDTH_1.jpg,Pockets,Snug-Fit-Pant,Fall,images/pants/11887236.jpg
11887366,https://asset1.ruecdn.com/images/product/141274/1412743409_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11887366.jpg
11887662,https://asset1.ruecdn.com/images/product/141269/1412695654_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11887662.jpg
11887953,https://asset1.ruecdn.com/images/product/141262/1412627167_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Tropical-Vacation,images/pants/11887953.jpg
11888011,https://asset1.ruecdn.com/images/product/141258/1412582687_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888011.jpg
11888012,https://asset1.ruecdn.com/images/product/141258/1412582685_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11888012.jpg
11888064,https://asset1.ruecdn.com/images/product/141258/1412580956_RLLDTH_1.jpg,Seam-Pocket,Regular-Fit-Pant,Fall,images/pants/11888064.jpg
11888123,https://asset1.ruecdn.com/images/product/141257/1412575611_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11888123.jpg
11888126,https://asset1.ruecdn.com/images/product/141257/1412575604_RLLDTH_1.jpg,Pockets,Slim-Fit-Pant,Spring,images/pants/11888126.jpg
11888127,https://asset1.ruecdn.com/images/product/141257/1412575603_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Spring,images/pants/11888127.jpg
11888128,https://asset1.ruecdn.com/images/product/141257/1412575602_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888128.jpg
11888129,https://asset1.ruecdn.com/images/product/141257/1412575601_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888129.jpg
11888271,https://asset1.ruecdn.com/images/product/141252/1412524569_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888271.jpg
11888312,https://asset1.ruecdn.com/images/product/141251/1412510481_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888312.jpg
11888319,https://asset1.ruecdn.com/images/product/141251/1412510457_RLLDTH_1.jpg,Pockets,Regular-Fit-Pant,Fall,images/pants/11888319.jpg
11888326,https://asset1.ruecdn.com/images/product/141251/1412510398_RLLDTH_1.jpg,Seam-Pocket,Regular-Fit-Pant,Fall,images/pants/11888326.jpg
11888363,https://asset1.ruecdn.com/images/product/141250/1412505494_RLLDTH_1.jpg,Seam-Pocket,Slim-Fit-Pant,Spring,images/pants/11888363.jpg
11888364,https://asset1.ruecdn.com/images/product/141250/1412505493_RLLDTH_1.jpg,Seam-Pocket,Slim-Fit-Pant,Fall,images/pants/11888364.jpg
