id,image_url,wearing_occasion,style_silhouette,season,relative_path,relative_path
10097445,https://asset1.ruecdn.com/images/product/131195/1311950060_RLLDTH_1.jpg,Day-Party,Pumps,Tropical-Vacation,images/shoes/10097445.jpg,images/shoes/10097445.jpg
10097473,https://asset1.ruecdn.com/images/product/131395/1313956101_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/10097473.jpg,images/shoes/10097473.jpg
11875685,https://asset1.ruecdn.com/images/product/151195/1511954354_RLLDTH_1.jpg,Casual,High-Top-Sneakers,Cold_Weather-Vacation,images/shoes/11875685.jpg,images/shoes/11875685.jpg
11875819,https://asset1.ruecdn.com/images/product/151193/1511938566_RLLDTH_1.jpg,Sports,Casual-Sneakers,Tropical-Vacation,images/shoes/11875819.jpg,images/shoes/11875819.jpg
11876067,https://asset1.ruecdn.com/images/product/151192/1511923180_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11876067.jpg,images/shoes/11876067.jpg
11876072,https://asset1.ruecdn.com/images/product/151192/1511922057_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11876072.jpg,images/shoes/11876072.jpg
11876073,https://asset1.ruecdn.com/images/product/151192/1511922055_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11876073.jpg,images/shoes/11876073.jpg
11876313,https://asset1.ruecdn.com/images/product/151191/1511918768_RLLDTH_1.jpg,Casual,Boots,Cold_Weather-Vacation,images/shoes/11876313.jpg,images/shoes/11876313.jpg
11876316,https://asset1.ruecdn.com/images/product/151191/1511918762_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11876316.jpg,images/shoes/11876316.jpg
11876537,https://asset1.ruecdn.com/images/product/151189/1511890243_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11876537.jpg,images/shoes/11876537.jpg
11877134,https://asset1.ruecdn.com/images/product/151187/1511871336_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11877134.jpg,images/shoes/11877134.jpg
11877141,https://asset1.ruecdn.com/images/product/151187/1511871325_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11877141.jpg,images/shoes/11877141.jpg
11877313,https://asset1.ruecdn.com/images/product/151186/1511863192_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11877313.jpg,images/shoes/11877313.jpg
11877689,https://asset1.ruecdn.com/images/product/151183/1511838036_RLLDTH_1.jpg,Casual,Casual-Sneakers,Tropical-Vacation,images/shoes/11877689.jpg,images/shoes/11877689.jpg
11878282,https://asset1.ruecdn.com/images/product/151180/1511806657_RLLDTH_1.jpg,Surfing_Swimming-Sports,Water-Shoes,Tropical-Vacation,images/shoes/11878282.jpg,images/shoes/11878282.jpg
11878283,https://asset1.ruecdn.com/images/product/151180/1511806656_RLLDTH_1.jpg,Surfing_Swimming-Sports,Water-Shoes,Tropical-Vacation,images/shoes/11878283.jpg,images/shoes/11878283.jpg
11878290,https://asset1.ruecdn.com/images/product/151180/1511806644_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878290.jpg,images/shoes/11878290.jpg
11878291,https://asset1.ruecdn.com/images/product/151180/1511806643_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878291.jpg,images/shoes/11878291.jpg
11878292,https://asset1.ruecdn.com/images/product/151180/1511806642_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878292.jpg,images/shoes/11878292.jpg
11878293,https://asset1.ruecdn.com/images/product/151180/1511806639_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878293.jpg,images/shoes/11878293.jpg
11878296,https://asset1.ruecdn.com/images/product/151180/1511806631_RLLDTH_1.jpg,Surfing_Swimming-Sports,Water-Shoes,Tropical-Vacation,images/shoes/11878296.jpg,images/shoes/11878296.jpg
11878297,https://asset1.ruecdn.com/images/product/151180/1511806629_RLLDTH_1.jpg,Surfing_Swimming-Sports,Water-Shoes,Tropical-Vacation,images/shoes/11878297.jpg,images/shoes/11878297.jpg
11878388,https://asset1.ruecdn.com/images/product/151179/1511797972_RLLDTH_1.jpg,Outdoor_Activity,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878388.jpg,images/shoes/11878388.jpg
11878563,https://asset1.ruecdn.com/images/product/151179/1511790085_RLLDTH_1.jpg,Outdoor-Slipper,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878563.jpg,images/shoes/11878563.jpg
11878944,https://asset1.ruecdn.com/images/product/151176/1511762625_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878944.jpg,images/shoes/11878944.jpg
11878945,https://asset1.ruecdn.com/images/product/151176/1511762623_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878945.jpg,images/shoes/11878945.jpg
11878946,https://asset1.ruecdn.com/images/product/151176/1511762622_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878946.jpg,images/shoes/11878946.jpg
11878947,https://asset1.ruecdn.com/images/product/151176/1511762620_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878947.jpg,images/shoes/11878947.jpg
11878950,https://asset1.ruecdn.com/images/product/151176/1511762617_RLLDTH_1.jpg,Ski_Snowboard-Sports,Winter-Boots,Cold_Weather-Vacation,images/shoes/11878950.jpg,images/shoes/11878950.jpg
11879067,https://asset1.ruecdn.com/images/product/151174/1511748921_RLLDTH_1.jpg,Casual,Slides,Tropical-Vacation,images/shoes/11879067.jpg,images/shoes/11879067.jpg
